Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Johnny Layton,true,5,0,13,0
Nick Tucker,false,3,5,16,8
Billy Marks,true,5,3,21,5
Paul Rodriguez,true,5,4,31,6
Mike Vallely,true,5,4,25,6
Heath Kirchart,true,5,2,16,4
Torey Pudwill,true,5,1,16,2
Shane O'Neill,false,4,5,24,7
Keelan Dadd,true,5,1,27,3
PJ Ladd,false,1,5,40,8
Shane O'Neill,false,4,5,30,7
Dennis Busenitz,true,5,2,16,3
Mike Mo Capaldi,false,0,5,10,6
Joey Brezinski,true,5,2,14,3
Christoph "Willow" Wildgrube,true,5,0,17,0
Benny Fairfax,true,5,2,20,3
Luis "Moose" De Los Reyes,false,2,5,32,8
Dennis Busenitz,true,5,4,31,7
Torey Pudwill,true,5,1,19,2
Chris Chann,false,4,5,21,8
