Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Greg Lutzka,true,5,1,12,1
Shane O'Neill,false,4,5,27,7
Nick Holt,true,5,4,16,7
Nick Tucker,false,2,5,13,7
Dennis Busenitz,true,5,2,29,5
PJ Ladd,false,1,5,27,7
Sewa Kroetkov,true,5,4,9,6
Chhandy Khon,true,5,1,15,2
Dan Plunkett,false,3,5,16,8
Griffin Gass,true,5,4,13,5
Luan Oliveira,false,2,5,16,6
PJ Ladd,false,4,5,19,7
Mike Mo Capaldi,false,0,5,16,5
Miles Silvas,true,5,4,25,7
Mark Appleyard,true,5,1,12,3
Sean Malto,false,2,5,26,12
Donovan Strain,true,5,2,7,4
Rob Dyrdek,true,5,0,8,1
Shane O'Neill,false,0,5,14,5
Morgan Smith,true,5,4,33,7
Dennis Busenitz,true,5,0,18,0
