Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Trevor McClung,true,5,0,15,0
Luis "Moose" De Los Reyes,true,5,4,34,6
Chris Chann,true,5,0,10,0
Morgan Smith,true,5,4,35,7
Chris Joslin,false,1,5,32,6
Torey Pudwill,true,5,1,20,2
Chris Colbourn,true,5,0,27,0
PJ Ladd,false,2,5,18,8
Eric Koston,true,5,2,19,3
Felipe Gustavo,true,5,2,35,5
Sewa Kroetkov,true,5,4,44,5
Chris Joslin,true,5,3,36,8
Tanner Lawler,true,5,4,21,4
Ishod Wair,true,5,0,17,1
Cody Cepeda,false,0,5,14,5
Torey Pudwill,true,5,3,28,5
Cody Cepeda,false,4,5,32,8
