Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Jimmy Carlin,true,5,0,17,0
Shane O'Neill,true,5,4,18,7
Billy Marks,true,5,0,16,0
Nate Principato,true,5,0,21,0
Nyjah Huston,true,5,4,27,5
Lem Villemin,true,5,1,21,2
Mike Carroll,true,5,2,16,3
Chico Brenes,true,5,1,16,1
PJ Ladd,false,3,5,25,8
Morgan Smith,false,2,5,25,7
Benny Fairfax,true,5,2,19,3
Mark Appleyard,true,5,0,14,1
Davis Torgerson,false,4,5,17,8
Sewa Kroetkov,false,4,5,18,6
Torey Pudwill,false,1,5,33,7
Theotis Beasley,true,5,3,23,5
Tom Asta,false,4,5,24,9
Ronnie Creager,true,5,3,24,4
Chris Roberts,true,5,4,32,8
Chris Cole,true,5,0,15,0
Billy Marks,true,5,4,23,7
Ramiro "Furby" Salcedo,true,5,1,23,3
Eric Koston,true,5,0,21,0
PJ Ladd,false,2,5,23,9
Austyn Gillette,true,5,1,16,2
Peter Ramondetta,true,5,4,31,9
Shane O'Neill,false,0,5,1,6
Nyjah Huston,true,5,4,32,8
Sean Malto,true,5,1,22,4
