Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Davis Torgerson,true,5,0,28,2
Rodrigo Teixeira,true,5,0,18,1
Mike Mo Capaldi,true,5,2,28,3
Luan Oliveira,false,4,5,34,9
Carlos Ribeiro,true,5,4,33,7
Spencer Brown,true,5,4,20,7
Ishod Wair,false,4,5,34,8
Nick Holt,false,4,5,13,7
Tommy Sandoval,true,5,0,16,1
Torey Pudwill,true,5,1,39,4
Carlos Ribeiro,true,5,1,25,2
Eric Koston,false,4,5,32,9
PJ Ladd,true,5,0,40,2
Alex Mizurov,true,5,4,32,6
Will Fyock,false,4,5,16,8
Luis "Moose" De Los Reyes,true,5,0,29,1
