Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Paul Rodriguez,true,5,4,47,10
Albert Nyberg,true,5,4,22,5
Tom Asta,false,4,5,39,7
Shane O'Neill,true,5,0,44,2
Manny Santiago,true,5,2,43,5
Paul Rodriguez,true,5,3,25,5
Nick Holt,false,1,5,18,6
Mike Mo Capaldi,true,5,3,27,6
Shane O'Neill,false,3,5,27,8
Eric Koston,true,5,1,31,2
Chris Roberts and The Legion of Doom,true,5,3,60,8
Josiah Gatlyn,true,5,1,19,2
Davis Torgerson,true,5,1,25,3
Luan Oliveira,true,5,2,21,4
Tyler Bledsoe,true,5,3,21,6
Benny Fairfax,false,4,5,18,8
Cory Kennedy,true,5,0,27,1
Tom Asta,true,5,0,23,1
Carlos Ribeiro,true,5,0,20,1
Ishod Wair,true,5,4,37,7
Chris Cole,true,5,1,44,4
Luis "Moose" De Los Reyes,true,5,3,31,6
Eric Koston,true,5,4,20,6
Paul Rodriguez,false,4,5,43,7
Mike Mo Capaldi,true,5,2,26,6
Ishod Wair,true,5,4,40,6
Billy Marks,false,4,5,19,9
Morgan Smith,false,0,5,35,8
Benny Fairfax,true,5,0,14,0
Trent McClung,true,5,0,45,2
Andrew Reynolds,true,5,1,24,4
Luis "Moose" De Los Reyes,true,5,2,55,7
