Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Spencer Brown,true,5,2,23,2
Sewa Kroetkov,false,2,5,18,7
Matt Miller,true,5,1,9,2
Tom Asta,true,5,4,38,6
PJ Ladd,false,4,5,46,11
Shane O'Neill,true,5,1,21,2
Danny Cerezini,true,5,1,21,2
PJ Ladd,false,3,5,23,8
Chris Cole,false,4,5,30,8
Chico Brenes,true,5,0,12,0
Rodrigo Teixeira,false,2,5,29,10
Sewa Kroetkov,true,5,4,18,6
Chris Colbourn,false,3,5,48,8
Cory Kennedy,true,5,1,19,2
Gilbert Crockett,true,5,1,16,2
Danny Garcia,true,5,1,20,3
Luis "Moose" De Los Reyes,false,0,5,6,5
Torey Pudwill,true,5,0,20,0
PJ Ladd,true,5,4,44,5
Kelly Hart,true,5,0,12,0
Sean Malto,true,5,0,31,3
Jonny Giger,true,5,3,17,5
Felipe Gustavo,true,5,0,15,1
Davis Torgerson,true,5,1,16,3
David Gonzalez,true,5,1,16,1
