Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Paul Rodriguez,true,5,2,21,4
Cody Cepeda,true,5,2,25,3
Scott Decenzo,true,5,0,22,0
Moses Adams,true,5,4,28,5
Chris Joslin,false,4,5,28,7
Robert Neal,true,5,2,21,3
Paul Rodriguez,false,4,5,17,7
Tom Asta,true,5,1,17,1
Mike Mo Capaldi,true,5,4,19,4
Shane O'Neill,true,5,4,20,6
Wes Kremer,false,1,5,13,6
Eric Koston,false,4,5,8,8
Michael Sommer,true,5,0,14,0
Tom Asta,true,5,1,14,2
Matt Berger,true,5,1,13,2
Torey Pudwill,true,5,4,25,6
Luan Oliveira,false,4,5,43,7
Will Fyock,true,5,1,16,1
Walker Ryan,true,5,1,17,2
Will Fyock,true,5,3,29,6
Cody Cepeda,false,0,5,7,6
Shane O'Neill,true,5,0,12,0
Manny Santiago,true,5,3,17,4
Davis Torgerson,false,1,5,23,7
