Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Cody Cepeda,false,4,5,43,10
Eric Koston,true,5,4,28,6
Louie Lopez,true,5,0,15,1
Mike Mo Capaldi,false,4,5,17,8
Paul Rodriguez,false,1,5,17,7
PJ Ladd,false,0,5,39,7
Cody Cepeda,true,5,0,19,0
Will Fyock,true,5,3,39,6
Ishod Wair,true,5,4,29,7
PJ Ladd,true,5,3,29,5
Nick Tucker,true,5,2,18,3
Sewa Kroetkov,false,4,5,19,8
Torey Pudwill,true,5,2,23,6
Chris Cole,true,5,4,25,6
Davis Torgerson,true,5,1,21,2
Chris Cole,true,5,4,31,6
Davis Torgerson,false,3,5,24,7
Ishod Wair,true,5,2,29,5
Nyjah Huston,true,5,0,13,0
Jimmy Carlin,true,5,2,15,4
Jereme Rogers,true,5,0,16,1
Ishod Wair,true,5,0,11,0
Cristian Vannella,true,5,3,23,4
Luis "Moose" De Los Reyes,true,5,0,19,0
Eric Koston,true,5,0,19,0
Gilbert Crockett,true,5,2,18,3
Mike Mo Capaldi,true,5,0,6,1
Ryan Decenzo,true,5,0,26,0
Sewa Kroetkov,false,0,5,7,5
