Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Paul Rodriguez,false,4,5,37,8
Dane Burman,true,5,2,13,3
Tom Rohrer,true,5,4,26,5
PJ Ladd,true,5,4,40,5
Cody Cepeda,false,1,5,15,6
Alex Mizurov,false,1,5,25,8
Marquise Henry,true,5,0,18,0
Cody Cepeda,false,0,5,6,6
Sewa Kroetkov,false,1,5,13,6
Youness Amrani,true,5,0,21,1
Cody Whitt,true,5,3,23,6
Sewa Kroetkov,false,1,5,10,6
PJ Ladd,false,0,5,18,6
Mike Mo Capaldi,true,5,4,25,7
Trent McClung,true,5,0,26,1
Shaun Rodriguez,true,5,0,16,0
Chris Joslin,false,0,5,27,8
Cyril Jackson,true,5,4,23,5
Eric Martinac,true,5,2,30,4
Taylor Kirby,false,4,5,25,8
Johnny Layton,true,5,0,9,0
Chris Joslin,false,2,5,34,9
