Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Cory Kennedy,false,0,5,8,6
Luan Oliveira,false,1,5,16,6
Jimmy Carlin,true,5,1,19,3
Evan Smith,true,5,0,14,0
Shane O'Neill,false,2,5,20,9
Chris Cole,false,1,5,12,7
Mike Mo Capaldi,true,5,1,37,2
Sewa Kroetkov,false,4,5,24,7
Josiah Gatlyn,true,5,3,24,5
Marty Murawski,true,5,4,22,6
Paul Rodriguez,false,0,5,15,5
Nick Tucker,true,5,0,11,0
David Gonzalez,true,5,3,20,4
Morgan Smith,false,1,5,35,9
Marc Johnson,true,5,1,15,2
Luan Oliveira,false,3,5,26,8
Chris Cole,false,1,5,15,7
