Trick name,Successful attempts,Unsuccessful attempts
360 Backfoot Underflip,2,0
360 Boneless,2,0
360 Double Kickflip,50,37
360 Flip,630,45
360 Flip Frontside Body Varial,2,4
360 Flip Revert,6,3
360 Shuvit,130,33
540 Flip,28,23
540 Shuvit,30,26
???,1,1
Airwalk,2,0
Back Foot Heelflip,0,2
Back Foot Kickflip,0,0
Back Foot Varial Flip,8,10
Backside  180 Kickflip,0,0
Backside 180,12,0
Backside 180 Back Foot Kickflip,4,2
Backside 180 Double Kickflip,9,6
Backside 180 Forward Flip,0,1
Backside 180 Front Foot Impossible,1,1
Backside 180 Heelflip,194,57
Backside 180 Heelflip 360 Body Varial,3,4
Backside 180 Hippy Jump Powerslide,3,1
Backside 180 Impossible,0,2
Backside 180 Kickflip,176,44
Backside 180 Kickflip Late Back Foot Flip,1,2
Backside 180 Mute Grab,2,0
Backside 180 Pressure Flip,13,8
Backside 180 Pressure Kickflip,0,1
Backside 180 Varial Heel,0,1
Backside 360,131,27
Backside 360 Bigspin,5,6
Backside 360 Bigspin Kickflip,2,0
Backside 360 Body Varial,0,1
Backside 360 Kickflip,10,15
Backside 360 Ollie North,10,2
Backside Biggerspin,17,16
Backside Bigspin,363,42
Backside Bigspin Kickflip,7,1
Backside Double Kickflip,1,1
Backside Heelflip,2,0
Backside Kickflip,2,0
Backside Power Blunt,2,0
Biggerspin Kickflip,36,19
Bigspin Double Kickflip,0,1
Bigspin Heelflip,13,8
Bigspin Heelflip,61,46
Bigspin Kickflip,223,64
Boneless Finger Flip,2,0
Boneless Switch Hand,2,0
Caballerial,33,2
Caballerial Bigspin,20,9
Caballerial Bigspin Kickflip,25,12
Caballerial Double Kickflip,4,2
Caballerial Heelflip,10,8
Caballerial Kickflip,95,43
Caballerial Late Flip,0,1
Casper Flip,2,1
Casper Late Flip,1,2
Double Hand Street Plant,0,1
Double Heelflip,6,6
Double Kickflip,59,32
Double Kickflip Frontside Body Varial,1,1
Fakie 360 Flip,373,64
Fakie 360 Shuvit,52,25
Fakie 540 Flip,9,3
Fakie 540 Shuvit,3,1
Fakie Airwalk,2,0
Fakie Back Foot Varial Flip,1,2
Fakie Backside 540,1,1
Fakie Backside Biggerspin,19,11
Fakie Backside Bigspin,36,2
Fakie Biggerspin,11,7
Fakie Biggerspin Kickflip,68,34
Fakie Bigspin,33,5
Fakie Bigspin Double Kickflip,2,0
Fakie Bigspin Heelflip,106,57
Fakie Bigspin Kickflip,103,26
Fakie Double Heelflip,0,1
Fakie Double Kickflip,59,16
Fakie Frontside 180 Body Varial,1,1
Fakie Frontside Biggerspin,0,1
Fakie Frontside Bigspin,35,10
Fakie Frontside Bigspin Heelflip,0,0
Fakie Frontside Shuvit,8,0
Fakie Frontside Shuvit Revert,2,0
Fakie Hardflip,130,83
Fakie Hardflip 180,9,1
Fakie Hardflip Revert,2,0
Fakie Heelflip,246,39
Fakie Heelflip Backside 180 Body Varial,3,3
Fakie Impossible,11,13
Fakie Inward Heelflip,67,36
Fakie Kickflip,429,34
Fakie Laser Flip,3,6
Fakie Late Pop Shuvit,1,2
Fakie Ollie Backside Body Varial,2,0
Fakie Ollie South,4,0
Fakie Pop Shuvit,4,0
Fakie Pressure Flip,2,2
Fakie Triple Kickflip,2,1
Fakie Varial Double Kickflip,0,1
Fakie Varial Heelflip,45,26
Fakie Varial Kickflip,44,16
Finger Flip,2,0
Flamingo,2,0
Forward Flip,2,3
Front Foot Impossible,8,8
Frontside 180,16,0
Frontside 180 Body Varial,1,1
Frontside 180 Double Kickflip,0,2
Frontside 180 Hardflip,8,7
Frontside 180 Heelflip,77,35
Frontside 180 Inward Heelflip,2,0
Frontside 180 Kickflip,317,81
Frontside 180 Kickflip,71,12
Frontside 180 One Foot,4,2
Frontside 360,125,19
Frontside 360 Bigspin Heelflip,1,1
Frontside 360 Heelflip,2,3
Frontside 360 Kickflip,3,4
Frontside 360 Shuvit,3,5
Frontside Biggerspin,0,1
Frontside Bigspin,241,51
Frontside Bigspin Heelflip,0,0
Frontside Bigspin Heelflip,0,0
Frontside Body Varial,4,0
Frontside Caballerial,6,0
Frontside Caballerial Bigspin,1,1
Frontside Caballerial Heelflip,11,17
Frontside Caballerial Kickflip,5,2
Frontside Double Kickflip,1,1
Frontside Halfcab,6,0
Frontside Halfcab Heeflip,166,41
Frontside Halfcab Kickflip,161,39
Frontside Halfcab Pressure Flip,0,1
Frontside Heelflip,0,0
Frontside Kickflip,0,0
Frontside Pressure Flip,1,2
Frontside Shuvit,172,16
Frontside Shuvit Late Flip,2,2
Frontside Shuvit Revert,1,3
Frontside Shuvit Underflip,0,1
Ghetto Bird,29,14
Half Cab Finger Flip,1,1
Halfcab,8,0
Halfcab Back Foot Kickflip,1,2
Halfcab Double Kickflip,11,9
Halfcab Finger Flip,0,1
Halfcab Hardflip,12,5
Halfcab Heelflip,150,31
Halfcab Inward Heelflip,11,15
Halfcab Kickflip,239,51
Halfcab Kickflip Underflip,1,2
Halfcab Late Kickflip,1,1
Halfcab Late Shuvit,5,4
Hand Plant Flamingo,1,1
Hand Plant Indy Nosebone,2,1
Hand Plant Shuvit,1,1
Hand Plant Turn Around,2,0
Hardflip,303,107
Hardflip Backside 180,23,13
Hardflip Double Flip,2,3
Hardflip Foot Cross,1,2
Hardflip Frontside 180,6,7
Heelflip,246,33
Heelflip Backside Body Varial,2,1
Heelflip Underflip,3,5
Impossible,105,37
Impossible Late Flip,7,12
In and Out Footplant,2,0
Inside Front Foot Impossible,3,4
Inward Heelflip,97,48
Kickflip,550,24
Kickflip Late Frontside Shuvit,0,1
Kickflip Pretzel,1,1
Laser Flip,43,31
Late Frontside Shuv-it,0,0
Late Frontside Shuvit,14,1
Late Pressure Flip,2,2
Late Shuvit,3,4
No-Pop Frontside Shuvit,2,0
Nollie 360 Bigspin,4,1
Nollie 360 Bigspin Heelflip,2,3
Nollie 360 Bigspin Kickflip,1,1
Nollie 360 Double Kickflip,1,4
Nollie 360 Flip,233,70
Nollie 360 Shuvit,9,7
Nollie Backside 180,6,0
Nollie Backside 180 Double Heelflip,3,1
Nollie Backside 180 Front Foot Flip,1,2
Nollie Backside 180 Hardflip,4,7
Nollie Backside 180 Heelflip,393,84
Nollie Backside 180 Inward Heel,13,3
